"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"88141-7","Bakteri","MevcKimlik","Zmlı","Oküler sv","Snf","Aerobik kültür","MICRO","","","",""
"88236-5","Bakteri","MevcKimlik","Zmlı","BOS","Snf","Aerobik kültür","MICRO","","","",""
"9482-1","Potasyum","KütlKons","Zmlı","Su","Kant","","CHEM","","","",""
"9822-8","Bakteri","MevcKimlik","Zmlı","Diyal sv","Snf","Kültür","MICRO","","","",""
"104865-1","Bakteri","MevcEşik","Zmlı","İdrar","Srl","Bilgisayar destekli","MICRO","","","Mevcut",""
"105610-0","Bakteri","SayKons","Zmlı","BAL","Kant","Kültür","MICRO","","","Bronkoalveoler lavaj",""
"107188-5","Bakteri","MevcKimlik","Zmlı","Apse","Snf","Anaerobik kültür","MICRO","","","",""
"100906-7","Bakteri","SayKons","Zmlı","İdrar","Kant","Kültür","MICRO","","","",""
"105917-9","Bakteri","MevcKimlik","Zmlı","BAL","Snf","Kültür","MICRO","","","Bronkoalveoler lavaj",""
"105907-0","Bakteri","SayKons","Zmlı","İdrar","Kant","","UA","","","",""
"106018-5","Bakteri","SayKons","Zmlı","Semen","Kant","Kültür","MICRO","","","",""
"105932-8","Bakteri","MevcKimlik","Zmlı","Bronşiyal","Snf","Kültür","MICRO","","","",""
"106042-5","Bakteri","MevcKimlik","Zmlı","AnneSüt","Snf","Kültür","MICRO","","","",""
"106016-9","Bakteri","MevcKimlik","Zmlı","Penis","Snf","Kültür","MICRO","","","",""
"106033-4","Bakteri","MevcKimlik","Zmlı","Pus","Snf","Anaerobik kültür","MICRO","","","",""
"95594-8","Kalsidiol","KütlKons","Zmlı","KanKpl","Kant","","CHEM","","","",""
"105908-8","Bakteri","SayAlanda","Zmlı","İdrar sed","Kant","","UA","","","Birim alandaki sayı",""
"105051-7","Bakteri","SayAlanda","Zmlı","İdrar sed","Kant","Mikroskopi","MICRO","","","Birim alandaki sayı",""
"105052-5","Bakteri","MevcEşik","Zmlı","İdrar sed","Srl","Mikroskopi","MICRO","","","Mevcut",""
"106032-6","Bakteri","MevcKimlik","Zmlı","Pus","Snf","Kültür","MICRO","","","",""
